식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),니코틴산(mg),니코틴아마이드(mg),비오틴(μg),비타민 B6 / 피리독신(mg),비타민 B12(μg),엽산(μg DFE),콜린(mg),판토텐산(mg),비타민 D2(μg),비타민 D3(μg),비타민 E(mg α-TE),알파 토코페롤(mg),베타 토코페롤(mg),감마 토코페롤(mg),델타 토코페롤(mg),알파 토코트리에놀(mg),베타 토코트리에놀(mg),감마 토코트리에놀(mg),델타 토코트리에놀(mg),비타민 K(μg),비타민 K1(μg),비타민 K2(μg),갈락토오스(g),과당(g),당알콜(g),맥아당(g),알룰로오스(g),에리스리톨(g),유당(g),자당(g),타가토스(g),포도당(g),불포화지방산(g),EPA와 DHA의 합(mg),가돌레산(20:1) / 에이코센산(20:1)(mg),감마 리놀렌산(18:3(n-6))(mg),네르본산(24:1)(mg),도코사디에노산(22:2)(mg),도코사펜타에노산/토코사펜타엔산(22:5(n-3))(mg),DHA / 도코사헥사에노산/도코사헥사엔산(22:6(n-3))(mg),디호모리놀렌산/에이코사트리에노산(20:3(n-3))(mg),라우르산(12:0)(mg),리그노세르산(24:0)(mg),리놀레산(18:2(n-6))(g),미리스톨레산(14:1)(mg),미리스트산(14:0)(mg),박센산(18:1(n-7))(mg),베헨산(22:0)(mg),부티르산(4:0)(mg),스테아르산(18:0)(mg),스테아리돈산(18:4(n-3))(mg),아라키돈산(20:4(n-6))(mg),아라키드산(20:0)(mg),알파 리놀렌산(18:3(n-3))(g),에루크산(22:1)(mg),에이코사디에노산(20:2(n-6))(mg),에이코사트리에노산(20:3(n-6))(mg),EPA / 에이코사펜타에노산(20:5(n-3))(mg),오메가3 지방산(g),오메가6 지방산(g),올레산(18:1(n-9))(mg),카프로산(6:0)(mg),카프르산(10:0)(mg),카프릴산(8:0)(mg),트라이데칸산(13:0)(mg),트랜스 리놀레산(18:2t)(mg),트랜스 리놀렌산(18:3t)(mg),트랜스 올레산(18:1(n-9t)(mg),트리코산산(23:0)(mg),팔미톨레산(16:1)(mg),팔미트산(16:0)(mg),펜타데칸산(15:0)(mg),헨에이코산산(21:0)(mg),헵타데센산(17:1)(mg),헵타데칸산(17:0)(mg),구리(μg),마그네슘(mg),망간(mg),몰리브덴(μg),불소(mg),셀레늄(μg),아연(mg),염소(mg),요오드(μg),크롬(μg),아미노산(mg),필수아미노산(mg),비필수아미노산(mg),글루탐산(mg),글라이신(mg),라이신(mg),류신(mg),메티오닌(mg),발린(mg),세린(mg),시스테인(mg),아르기닌(mg),아스파르트산(mg),알라닌(mg),이소류신(mg),타우린(mg),트레오닌(mg),트립토판(mg),티로신(mg),페닐알라닌(mg),프롤린(mg),히스티딘(mg),토코페롤(mg),토코트리에놀(mg),알코올(g),출처코드,출처명,1회 섭취참고량,식품중량,품목제조보고번호,제조사명,수입업체명,유통업체명,수입여부,원산지국코드,원산지국명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자
P114-103010200-0827,？스타곰탕 냉면 무김치,P,가공식품,1,가공식품,14,절임류 또는 조림류,14103,기타김치,1400001,김치류,140000102,김치,00,해당없음,100g,35,,1.00,0.00,,8.00,4.00,,,,,,650,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,40g,500g,202504053896,주식회사 더스타푸드,해당없음,해당없음,N,,해당없음,2,수집,2026-05-13,2026-07-28 00:00:00
P101-104000100-1203,﻿우리밀 한입 스콘 초코칩,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01104,스낵과자,0100000,해당없음,010000001,과자,00,해당없음,100g,457,,7.00,18.00,,67.00,22.00,,,,,,412,,,,,,,,,73.00,11.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,30g,100g,2024041736623,(주)페어베이커리,해당없음,해당없음,N,,해당없음,2,수집,2025-08-27,2026-07-28 00:00:00
P101-406000100-0078,﻿우리밀 한입 스콘 오트밀 레이즌,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01406,스콘,0100000,해당없음,010000001,과자,00,해당없음,100g,449,,6.00,18.00,,66.00,21.00,,,,,,493,,,,,,,,,72.00,11.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,70g,100g,2024041736626,(주)페어베이커리,해당없음,해당없음,N,,해당없음,2,수집,2025-08-27,2026-07-28 00:00:00
P101-406000100-0077,﻿우리밀 한입 스콘 쑥고물,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01406,스콘,0100000,해당없음,010000001,과자,00,해당없음,100g,443,,7.00,18.00,,64.00,19.00,,,,,,491,,,,,,,,,80.00,10.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,70g,100g,2024041736625,(주)페어베이커리,해당없음,해당없음,N,,해당없음,2,수집,2025-08-27,2026-07-28 00:00:00
P101-406000100-0076,﻿우리밀 한입 스콘 바다김,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01406,스콘,0100000,해당없음,010000001,과자,00,해당없음,100g,453,,7.00,19.00,,65.00,14.00,,,,,,250,,,,,,,,,90.00,10.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,70g,100g,2024041736624,(주)페어베이커리,해당없음,해당없음,N,,해당없음,2,수집,2025-08-27,2026-07-28 00:00:00
P101-501000500-3289,﻿Yeschef BIG TTEOKBOKKI 국물떡볶이,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01501,떡,0100000,해당없음,010000005,떡류,00,해당없음,100g,202,,5.53,0.29,,45.80,5.47,2.8,6,0.36,,87,259,,,,,,,,0.00,0.00,0.14,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,100g,400g,20150294499381,(주)아이케이푸드,해당없음,해당없음,N,,해당없음,2,수집,2025-06-17,2026-07-28 00:00:00
P108-008000200-0095,李家메밀소바,P,가공식품,1,가공식품,08,면류,08008,메밀국수/냉면국수,0800000,해당없음,080000002,숙면,00,해당없음,100g,162,,5.88,1.03,,32.35,3.68,,,,,,926,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,"생·숙면 200g, 건면 100g, 당면 30g, 유탕면(봉지)120g, 유탕면(용기)80g",1084g,20060445194499,(주)이가자연면,해당없음,해당없음,N,,해당없음,2,수집,2019-06-30,2026-07-28 00:00:00
P101-501000500-4541,金세기 쫀득쫀득 밀떡볶이,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01501,떡,0100000,해당없음,010000005,떡류,00,해당없음,100g,220,,6.00,0.90,,47.00,2.00,,,,,,310,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,100g,1000g,2011051807353,주식회사 죽암에프앤씨,해당없음,해당없음,N,,해당없음,2,수집,2026-01-23,2026-07-28 00:00:00
P101-501000500-4540,金세기 조랭이,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01501,떡,0100000,해당없음,010000005,떡류,00,해당없음,100g,224,,4.00,0.60,,51.00,0.00,,,,,,430,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,100g,2000g,201105180735,주식회사 죽암에프앤씨,해당없음,해당없음,N,,해당없음,2,수집,2026-01-23,2026-07-28 00:00:00
P101-501000500-4539,金세기 떡볶이떡,P,가공식품,1,가공식품,01,과자류·빵류 또는 떡류,01501,떡,0100000,해당없음,010000005,떡류,00,해당없음,100g,229,,4.00,0.00,,52.00,0.10,,,,,,230,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,식품의약품안전처,100g,2000g,2011051807333,주식회사 죽암에프앤씨,해당없음,해당없음,N,,해당없음,2,수집,2026-01-23,2026-07-28 00:00:00
